Date,Open,High,Low,Close,Adj Close,Volume
2022-07-12,58.419998,59.099998,58.310001,58.669998,58.060837,1839600
2022-07-13,57.520000,57.610001,56.930000,57.250000,56.655582,1242700
2022-07-14,56.419998,57.389999,56.419998,57.020000,56.427971,1190400
2022-07-15,57.580002,58.230000,56.799999,58.000000,57.397797,1315800
2022-07-18,57.180000,58.000000,56.009998,56.360001,55.774826,2338900
2022-07-19,56.919998,58.189999,56.830002,57.180000,56.586311,2325000
2022-07-20,57.340000,57.770000,56.490002,57.599998,57.001949,1338000
2022-07-21,57.930000,58.770000,57.549999,58.270000,57.664993,911400
2022-07-22,58.450001,58.959999,58.160000,58.610001,58.001461,877700
2022-07-25,59.000000,59.709999,58.599998,59.150002,58.535858,1286000
2022-07-26,58.779999,59.490002,58.470001,58.610001,58.001461,984200
2022-07-27,59.189999,60.279999,58.869999,59.950001,59.327549,1274000
2022-07-28,60.389999,62.250000,60.259998,62.080002,61.435436,1716400
2022-07-29,62.169998,63.110001,62.040001,62.799999,62.147957,1553600
2022-08-01,62.270000,63.700001,62.270000,63.080002,62.425053,1430300
2022-08-02,62.650002,63.270000,62.060001,62.080002,61.435436,1000600
2022-08-03,62.299999,63.200001,61.970001,63.090000,62.434948,1155700
2022-08-04,62.369999,63.419998,61.759998,62.430000,61.781799,1383200
2022-08-05,61.950001,63.320000,61.310001,62.810001,62.157856,1878400
2022-08-08,64.260002,64.379997,63.000000,63.070000,62.415154,655900
2022-08-09,62.910000,63.340000,62.799999,63.070000,62.415154,842900
2022-08-10,63.849998,65.580002,63.840000,65.269997,64.592308,1479900
2022-08-11,65.250000,65.309998,64.209999,65.000000,64.325119,1532300
2022-08-12,65.169998,66.220001,64.820000,66.169998,65.482964,1182800
2022-08-15,65.849998,65.970001,65.290001,65.760002,65.077225,1719600
2022-08-16,65.940002,66.480003,64.709999,64.940002,64.265739,1298800
2022-08-17,64.629997,64.830002,64.080002,64.610001,63.939167,861000
2022-08-18,64.529999,64.779999,64.190002,64.620003,63.949062,994400
2022-08-19,63.529999,64.029999,62.779999,63.049999,62.395363,770000
2022-08-22,61.689999,62.400002,61.669998,62.130001,61.484917,933800
2022-08-23,62.029999,62.669998,61.900002,62.200001,61.554188,812600
2022-08-24,62.340000,63.090000,62.099998,62.849998,62.197437,552400
2022-08-25,62.430000,62.959999,62.139999,62.750000,62.098476,1031400
2022-08-26,63.119999,63.299999,61.000000,61.000000,60.366646,506200
2022-08-29,60.480000,60.959999,60.400002,60.700001,60.069763,980000
2022-08-30,62.810001,63.090000,61.040001,61.340000,60.703117,1378000
2022-08-31,61.340000,61.860001,61.049999,61.049999,60.416126,835600
2022-09-01,61.029999,61.810001,60.810001,61.770000,61.128654,1490900
2022-09-02,62.330002,63.320000,61.950001,61.980000,61.336472,891900
2022-09-06,62.500000,62.959999,61.590000,61.959999,61.316677,914000
2022-09-07,61.639999,63.410000,61.520000,63.279999,62.622974,747800
2022-09-08,63.240002,64.510002,63.150002,64.400002,63.731346,980500
2022-09-09,64.000000,64.650002,63.869999,64.449997,63.780823,930800
2022-09-12,64.699997,65.339996,64.410004,65.300003,64.622002,1100300
2022-09-13,64.690002,65.959999,64.510002,65.250000,64.572517,3664600
2022-09-14,66.070000,67.879997,65.500000,67.820000,67.115837,2086200
2022-09-15,66.330002,67.250000,65.360001,66.949997,66.254868,3034800
2022-09-16,65.660004,66.279999,64.629997,64.919998,64.245941,1940800
2022-09-19,65.330002,66.080002,65.120003,66.070000,65.384003,764900
2022-09-20,65.959999,66.500000,65.260002,65.379997,64.701164,1312000
2022-09-21,65.120003,65.220001,63.610001,63.840000,63.177158,1663900
2022-09-22,63.070000,63.450001,60.500000,61.119999,60.485401,2396400
2022-09-23,59.810001,60.419998,58.709999,58.970001,58.357727,3020300
2022-09-26,58.389999,58.900002,57.889999,58.439999,57.833225,2408900
2022-09-27,58.299999,58.790001,57.020000,57.060001,56.467556,1667400
2022-09-28,56.669998,57.980000,56.189999,57.639999,57.041534,1746300
2022-09-29,56.560001,57.169998,56.099998,56.849998,56.259735,1313000
2022-09-30,58.299999,58.970001,57.599998,58.419998,57.813435,1983300
2022-10-03,58.139999,58.950001,57.500000,58.330002,57.724373,1223000
2022-10-04,58.910000,60.700001,58.910000,60.430000,59.802567,1097600
2022-10-05,59.770000,60.160000,59.119999,59.900002,59.278069,1101200
2022-10-06,59.000000,59.700001,58.860001,59.389999,58.773361,889900
2022-10-07,59.090000,59.090000,57.139999,57.450001,56.853508,1146500
2022-10-10,57.700001,58.570000,57.500000,57.599998,57.001949,1415300
2022-10-11,56.990002,57.389999,56.360001,56.470001,55.883682,1874800
2022-10-12,56.840000,57.590000,56.639999,56.869999,56.279526,1088500
2022-10-13,55.380001,57.889999,55.220001,57.650002,57.051430,1076200
2022-10-14,58.549999,59.410000,57.959999,57.970001,57.368107,1752900
2022-10-17,59.000000,60.799999,58.980000,59.939999,59.317650,2015300
2022-10-18,59.689999,60.419998,59.480000,60.279999,59.654121,1610300
2022-10-19,60.000000,60.040001,59.189999,59.720001,59.099937,894800
2022-10-20,60.099998,60.099998,58.900002,58.939999,58.328033,1046800
2022-10-21,58.820000,60.389999,58.790001,60.150002,59.525475,1202500
2022-10-24,60.180000,61.099998,59.290001,60.439999,59.812462,2419400
2022-10-25,59.900002,61.509998,59.889999,61.099998,60.465607,1850000
2022-10-26,61.540001,61.790001,61.139999,61.439999,60.802078,1626500
2022-10-27,61.500000,61.619999,60.610001,60.889999,60.257790,1549300
2022-10-28,61.279999,61.779999,60.980000,61.450001,60.811977,907200
2022-10-31,61.919998,62.570000,61.619999,62.310001,61.663048,1145000
2022-11-01,63.509998,64.110001,62.840000,63.160000,62.504219,1295700
2022-11-02,62.910000,63.160000,61.389999,61.410000,60.772388,1070500
2022-11-03,61.349998,62.009998,60.980000,61.849998,61.207821,1214900
2022-11-04,62.860001,63.250000,62.320000,63.110001,62.454739,793900
2022-11-07,63.700001,64.970001,63.669998,64.309998,63.642277,1760800
2022-11-08,64.510002,65.089996,64.150002,64.949997,64.275635,2136900
2022-11-09,64.500000,64.680000,64.050003,64.250000,63.582905,1178700
2022-11-10,66.040001,67.160004,65.959999,66.690002,65.997574,1789000
2022-11-11,68.070000,68.820000,67.699997,68.440002,67.729401,1532500
2022-11-14,67.669998,69.010002,67.580002,68.330002,67.620544,1704700
2022-11-15,69.900002,70.680000,69.180000,69.430000,68.709122,1988000
2022-11-16,69.190002,69.360001,68.370003,68.370003,67.660126,1030300
2022-11-17,67.459999,68.220001,67.320000,67.970001,67.264282,978800
2022-11-18,68.250000,68.470001,67.519997,67.889999,67.185112,636800
2022-11-21,67.250000,67.680000,67.010002,67.440002,66.739784,795400
2022-11-22,67.459999,68.339996,67.190002,68.000000,67.293968,812800
2022-11-23,67.660004,69.010002,67.660004,68.720001,68.006493,820600
2022-11-25,69.099998,69.830002,68.699997,69.519997,68.798180,584800
2022-11-28,69.080002,69.080002,68.320000,68.589996,67.877838,933500
2022-11-29,68.879997,69.269997,68.540001,69.239998,68.521088,1516100
2022-11-30,69.379997,70.769997,69.360001,70.570000,69.837280,2125800
2022-12-01,70.449997,70.680000,69.220001,69.550003,68.827881,1114700
2022-12-02,68.199997,68.309998,67.599998,68.199997,67.491890,1497000
2022-12-05,67.930000,68.650002,67.320000,68.389999,67.679916,1216400
2022-12-06,68.290001,68.550003,67.860001,68.220001,67.511688,1233600
2022-12-07,68.230003,68.769997,67.519997,67.570000,66.868431,1552600
2022-12-08,67.669998,68.629997,67.570000,68.029999,67.323654,1553900
2022-12-09,68.029999,69.029999,67.769997,68.699997,67.986694,1174800
2022-12-12,68.730003,69.480003,68.440002,69.309998,68.590363,857300
2022-12-13,70.220001,70.559998,68.910004,69.680000,68.956528,1245100
2022-12-14,69.320000,69.919998,69.160004,69.260002,68.540886,964300
2022-12-15,67.889999,68.290001,67.610001,68.290001,67.580956,1212000
2022-12-16,68.529999,69.059998,68.330002,68.900002,68.184624,1285700
2022-12-19,69.019997,69.230003,68.349998,68.739998,68.026283,1125000
2022-12-20,68.400002,70.150002,68.250000,70.010002,69.283096,1473200
2022-12-21,69.099998,70.330002,69.070000,69.309998,68.590363,1401200
2022-12-22,68.230003,68.360001,67.019997,68.059998,67.353340,909200
2022-12-23,67.529999,67.559998,66.230003,66.839996,66.146011,1399200
2022-12-27,67.500000,67.830002,67.300003,67.760002,67.056465,787300
2022-12-28,67.510002,67.870003,67.349998,67.550003,66.848640,796300
2022-12-29,67.839996,68.720001,67.760002,68.379997,67.670021,715800
2022-12-30,67.839996,68.500000,67.760002,68.410004,67.699715,660400
2023-01-03,69.290001,69.330002,68.180000,68.400002,67.689819,750800
2023-01-04,67.839996,68.269997,67.550003,67.839996,67.135628,977100
2023-01-05,67.610001,67.620003,66.779999,66.959999,66.264763,1379100
2023-01-06,67.199997,67.639999,66.500000,67.400002,66.700195,881500
2023-01-09,67.589996,67.959999,66.559998,67.400002,66.700195,1027000
2023-01-10,67.099998,67.120003,65.230003,65.580002,64.899094,1356200
2023-01-11,65.940002,66.849998,65.360001,66.580002,65.888710,1166100
2023-01-12,67.139999,67.139999,66.349998,66.699997,66.007462,1251200
2023-01-13,66.360001,67.809998,66.290001,67.519997,66.818947,959800
2023-01-17,66.949997,67.180000,64.769997,67.000000,66.304352,2124800
2023-01-18,68.220001,69.199997,67.970001,68.650002,67.937218,1261700
2023-01-19,68.900002,69.769997,68.800003,69.449997,68.728912,1398100
2023-01-20,69.989998,70.489998,68.779999,70.489998,69.758110,1253200
2023-01-23,70.320000,70.889999,70.050003,70.750000,70.015411,1188000
2023-01-24,71.000000,71.760002,70.559998,71.440002,70.698250,1209900
2023-01-25,69.570000,69.660004,66.930000,66.930000,66.235077,2429100
2023-01-26,67.410004,68.050003,67.050003,68.010002,67.303864,1394300
2023-01-27,66.779999,66.949997,65.059998,65.769997,65.087120,2746900
2023-01-30,66.099998,66.580002,65.599998,66.000000,65.314735,2034900
2023-01-31,65.879997,67.480003,65.709999,67.360001,66.660614,1584800
2023-02-01,67.650002,67.760002,64.449997,64.680000,64.008438,3016400
2023-02-02,65.269997,67.260002,65.010002,67.099998,66.403313,1995900
2023-02-03,67.230003,67.980003,66.800003,67.480003,66.779373,1901700
2023-02-06,66.639999,67.139999,66.139999,66.910004,66.215286,885500
2023-02-07,66.290001,67.309998,66.070000,67.190002,66.492378,1048300
2023-02-08,67.320000,68.269997,66.910004,67.860001,67.155418,1222900
2023-02-09,68.300003,68.459999,67.589996,67.650002,66.947601,1128000
2023-02-10,67.970001,68.370003,66.949997,67.970001,67.264282,884300
2023-02-13,67.949997,69.000000,67.629997,68.910004,68.194519,990900
2023-02-14,69.239998,69.900002,68.919998,69.650002,68.926834,1696000
2023-02-15,69.300003,69.730003,69.050003,69.570000,68.847664,884600
2023-02-16,69.059998,69.750000,68.830002,69.230003,68.511200,1504000
2023-02-17,68.980003,69.559998,68.900002,69.430000,68.709122,1372900
2023-02-21,68.860001,69.290001,68.589996,68.809998,68.095558,1246700
2023-02-22,68.000000,68.389999,67.029999,67.459999,66.759575,1078700
2023-02-23,67.510002,67.790001,67.019997,67.570000,66.868431,883300
2023-02-24,66.820000,67.120003,66.650002,66.830002,66.136116,1251700
2023-02-27,67.529999,67.800003,66.860001,67.059998,66.363724,1104100
2023-02-28,67.379997,67.800003,66.970001,67.639999,66.937706,1051100
2023-03-01,67.629997,67.629997,66.120003,66.699997,66.007462,1737300
2023-03-02,66.330002,66.849998,66.000000,66.650002,65.957985,1631600
2023-03-03,67.360001,67.809998,66.959999,67.720001,67.016876,1003600
2023-03-06,68.529999,68.809998,68.209999,68.320000,67.610641,1151600
2023-03-07,68.389999,68.699997,67.550003,67.930000,67.224693,1116600
2023-03-08,68.339996,68.339996,67.480003,68.000000,67.293968,1216900
2023-03-09,67.510002,67.669998,66.080002,66.180000,65.492867,1739500
2023-03-10,65.230003,65.879997,64.010002,64.419998,63.751137,2433100
2023-03-13,63.220001,64.290001,62.730000,63.669998,63.008923,2261200
2023-03-14,64.349998,65.019997,64.029999,64.370003,63.701660,1472100
2023-03-15,61.930000,62.349998,61.049999,62.310001,61.663048,2770300
2023-03-16,62.189999,64.160004,62.189999,63.889999,63.226639,1404500
2023-03-17,63.680000,63.860001,62.910000,63.150002,62.494328,1184100
2023-03-20,63.049999,64.250000,63.049999,63.740002,63.078201,1647200
2023-03-21,64.910004,65.440002,64.510002,64.589996,63.919369,2088000
2023-03-22,64.690002,64.910004,62.740002,62.810001,62.157856,2107400
2023-03-23,63.220001,64.529999,63.090000,63.419998,62.761520,1711000
2023-03-24,63.020000,63.410000,62.500000,63.389999,62.731831,1132800
2023-03-27,63.490002,64.699997,63.230000,64.379997,63.711552,1174900
2023-03-28,64.930000,65.239998,64.809998,64.860001,64.186569,1215700
2023-03-29,65.449997,66.220001,65.279999,66.059998,65.374107,1086900
2023-03-30,66.330002,66.449997,66.040001,66.080002,65.393906,950700
2023-03-31,66.610001,67.080002,66.250000,66.669998,65.977776,1184400
2023-04-03,66.599998,67.080002,66.080002,66.760002,66.066841,1253600
2023-04-04,67.010002,67.309998,66.440002,66.959999,66.264763,713700
2023-04-05,67.690002,68.290001,67.300003,67.949997,67.244484,1168400
2023-04-06,68.279999,68.690002,67.910004,68.489998,67.778877,840400
2023-04-10,67.769997,68.050003,67.500000,67.669998,66.967392,497400
2023-04-11,68.430000,68.610001,68.089996,68.599998,67.887733,839000
2023-04-12,69.639999,70.519997,69.430000,69.760002,69.035698,1227200
2023-04-13,70.220001,70.220001,68.279999,69.459999,68.738808,1121800
2023-04-14,69.400002,70.470001,69.389999,70.430000,69.698738,1778800
2023-04-17,68.739998,69.190002,68.059998,68.680000,67.966904,1688700
2023-04-18,68.910004,69.160004,68.449997,68.930000,68.214310,2881700
2023-04-19,69.339996,70.180000,68.790001,69.959999,69.233620,1691400
2023-04-20,69.919998,70.120003,69.650002,69.839996,69.114861,842300
2023-04-21,70.199997,71.300003,70.190002,70.889999,70.153961,1565100
2023-04-24,70.889999,71.190002,70.190002,70.519997,69.787796,1182700
2023-04-25,70.000000,70.019997,69.320000,69.570000,68.847664,1495200
2023-04-26,70.320000,70.720001,69.500000,69.660004,68.936737,1800900
2023-04-27,69.660004,69.779999,69.070000,69.599998,68.877350,1374600
2023-04-28,69.330002,69.809998,69.010002,69.800003,69.075279,1189800
2023-05-01,69.510002,70.620003,69.510002,69.910004,69.184143,551200
2023-05-02,69.949997,70.050003,69.190002,69.550003,68.827881,832100
2023-05-03,69.879997,70.430000,69.449997,69.500000,68.778397,954200
2023-05-04,70.489998,71.010002,68.160004,68.519997,67.808563,5036300
2023-05-05,66.989998,67.160004,65.720001,67.019997,66.324142,3550500
2023-05-08,67.959999,68.290001,67.099998,67.120003,66.423103,2133500
2023-05-09,66.500000,66.830002,65.739998,65.989998,65.304832,2730100
2023-05-10,67.160004,68.900002,66.790001,68.330002,67.620544,2816100
2023-05-11,67.790001,68.320000,67.089996,67.129997,66.432999,2160900
2023-05-12,67.629997,68.120003,67.489998,67.949997,67.949997,1532300
2023-05-15,67.800003,68.480003,67.769997,68.099998,68.099998,1103900
2023-05-16,67.320000,67.800003,66.970001,67.000000,67.000000,940200
2023-05-17,67.320000,67.660004,66.860001,66.900002,66.900002,2918600
2023-05-18,67.190002,67.190002,66.500000,66.669998,66.669998,1530600
2023-05-19,66.800003,66.980003,66.449997,66.489998,66.489998,980600
2023-05-22,66.440002,66.900002,66.300003,66.559998,66.559998,874500
2023-05-23,66.250000,66.519997,64.730003,65.339996,65.339996,3925200
2023-05-24,64.750000,65.300003,64.730003,64.980003,64.980003,1422800
2023-05-25,65.080002,65.180000,64.309998,64.379997,64.379997,2122900
2023-05-26,64.589996,65.209999,64.589996,64.809998,64.809998,1011500
2023-05-30,65.070000,65.559998,64.639999,64.800003,64.800003,1726800
2023-05-31,64.010002,64.510002,63.770000,64.400002,64.400002,3224800
2023-06-01,64.540001,64.919998,64.410004,64.760002,64.760002,2194200
2023-06-02,65.000000,65.660004,64.800003,65.480003,65.480003,1427500
2023-06-05,65.169998,65.989998,65.150002,65.190002,65.190002,1079100
2023-06-06,64.820000,64.989998,64.239998,64.379997,64.379997,1214900
2023-06-07,64.849998,65.529999,64.610001,64.900002,64.900002,1090300
2023-06-08,65.199997,65.339996,64.639999,64.680000,64.680000,794900
2023-06-09,64.730003,65.650002,64.610001,65.650002,65.650002,919400
2023-06-12,64.790001,65.150002,63.939999,63.939999,63.939999,2026000
2023-06-13,64.820000,65.510002,64.730003,64.910004,64.910004,1441800
2023-06-14,64.989998,64.989998,64.050003,64.360001,64.360001,1668400
2023-06-15,63.490002,64.629997,62.869999,64.599998,64.599998,1698700
2023-06-16,65.160004,66.480003,64.989998,66.449997,66.449997,2832100
2023-06-20,66.389999,66.430000,65.610001,66.199997,66.199997,3359400
2023-06-21,66.790001,68.110001,66.540001,67.830002,67.830002,2575800
