Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,431.500000,433.399994,423.799988,428.549988,393.213837,1135020
2013-04-02,431.000000,432.700012,425.000000,431.000000,395.461884,1362702
2013-04-03,430.500000,431.125000,420.625000,421.950012,387.158142,2095266
2013-04-04,419.549988,428.500000,419.000000,424.174988,389.199615,2364276
2013-04-05,422.649994,427.024994,415.750000,418.950012,384.405457,2327420
2013-04-08,421.000000,424.600006,417.625000,419.975006,385.345856,795854
2013-04-09,422.000000,425.924988,417.500000,419.649994,385.047699,1563698
2013-04-10,421.000000,421.500000,413.149994,418.500000,383.992523,931878
2013-04-11,416.649994,418.500000,410.125000,416.049988,381.744507,1605646
2013-04-12,412.500000,420.725006,408.024994,411.674988,377.730286,2589774
2013-04-15,408.799988,411.825012,404.475006,406.475006,372.959076,2840046
2013-04-16,407.000000,424.299988,404.774994,422.424988,387.593842,3578520
2013-04-17,422.500000,444.950012,422.500000,440.450012,404.132690,5989870
2013-04-18,439.049988,456.725006,435.125000,451.950012,414.684418,3677892
2013-04-22,454.600006,457.000000,441.299988,446.125000,409.339722,2103264
2013-04-23,449.399994,449.399994,438.950012,442.674988,406.174194,1350424
2013-04-25,445.000000,459.500000,440.200012,454.549988,417.070038,3437440
2013-04-26,452.500000,452.975006,440.700012,444.875000,408.192780,2593644
2013-04-29,447.500000,452.875000,445.600006,451.100006,413.904480,1918246
2013-04-30,451.174988,465.875000,440.500000,462.049988,423.951660,2481850
2013-05-02,456.950012,484.399994,456.200012,476.799988,437.485413,4519532
2013-05-03,476.250000,486.850006,469.700012,480.500000,440.880371,3424494
2013-05-06,477.549988,487.399994,477.549988,483.225006,443.380615,1756394
2013-05-07,480.575012,483.225006,474.000000,479.549988,440.008667,2250700
2013-05-08,481.625000,482.000000,470.674988,473.200012,434.182281,2003464
2013-05-09,472.274994,480.649994,469.174988,473.950012,434.870392,1999972
2013-05-10,473.125000,488.799988,473.125000,485.100006,445.101013,3589228
