Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,837.000000,839.000000,826.000000,834.700012,800.619141,116118
2013-04-02,834.950012,843.900024,830.200012,834.849976,800.763062,135116
2013-04-03,834.950012,840.000000,830.250000,834.450012,800.379395,48605
2013-04-04,835.000000,838.000000,812.700012,834.200012,800.139587,123446
2013-04-05,834.950012,850.000000,829.049988,843.799988,809.347534,214582
2013-04-08,835.049988,842.000000,825.049988,828.750000,794.912109,40902
2013-04-09,830.450012,835.000000,816.000000,821.349976,787.814209,61512
2013-04-10,827.000000,830.000000,810.500000,826.650024,792.897827,36493
2013-04-11,828.000000,835.049988,818.000000,822.900024,789.300964,31601
2013-04-12,827.750000,830.000000,818.150024,828.700012,794.864075,27236
2013-04-15,822.000000,832.000000,815.000000,818.400024,784.984619,18486
2013-04-16,815.000000,830.000000,815.000000,828.849976,795.007935,25831
2013-04-17,848.950012,848.950012,823.900024,829.250000,795.391663,720633
2013-04-18,829.349976,835.000000,828.549988,834.799988,800.715088,88302
2013-04-22,840.000000,840.000000,828.150024,833.000000,798.988525,52972
2013-04-23,833.549988,835.000000,825.250000,834.349976,800.283386,81998
2013-04-25,834.950012,835.000000,828.400024,833.349976,799.324158,76860
2013-04-26,827.000000,835.000000,822.599976,825.650024,791.938660,124945
2013-04-29,825.950012,834.000000,817.299988,824.900024,791.219299,203218
2013-04-30,829.950012,838.900024,825.099976,834.200012,800.139587,333380
2013-05-02,837.500000,847.950012,819.549988,825.500000,791.794800,418522
2013-05-03,825.500000,833.349976,823.000000,828.500000,794.672302,60194
2013-05-06,836.000000,868.000000,826.750000,859.200012,824.118835,333905
2013-05-07,862.000000,873.000000,855.000000,869.650024,834.142029,249548
2013-05-08,870.000000,913.900024,869.950012,905.700012,868.720215,304901
2013-05-09,906.849976,927.700012,894.500000,918.549988,881.045532,316638
2013-05-10,910.000000,953.650024,910.000000,941.549988,903.106384,380667
2013-05-13,945.000000,949.349976,892.000000,899.400024,862.677429,178571
2013-05-14,900.000000,921.750000,883.099976,909.349976,872.221130,191464
2013-05-15,909.799988,992.750000,906.150024,964.650024,925.263245,492804
2013-05-16,974.700012,1060.000000,972.000000,1043.949951,1001.325500,1640222
2013-05-17,1055.000000,1097.849976,1025.050049,1066.400024,1022.858826,1266192
2013-05-20,1072.000000,1072.000000,977.400024,996.900024,956.196533,973424
2013-05-21,990.000000,1001.000000,940.400024,976.950012,937.061096,936313
2013-05-22,977.000000,996.950012,936.000000,943.349976,904.832886,637786
2013-05-23,939.000000,965.000000,910.000000,949.799988,911.019592,387546
2013-05-24,958.799988,970.000000,890.000000,900.700012,863.924438,425303
2013-05-27,906.000000,972.900024,900.950012,950.650024,911.834839,888479
2013-05-28,954.799988,992.000000,936.049988,979.950012,939.938538,877300
2013-05-29,971.599976,985.450012,942.000000,962.700012,923.392883,545872
2013-05-30,965.000000,980.000000,954.500000,960.049988,920.851135,1028429
2013-05-31,960.000000,1045.000000,960.000000,1007.700012,966.555542,4658894
2013-06-03,1009.000000,1044.000000,962.650024,971.400024,931.737732,528878
2013-06-04,985.000000,1040.000000,976.500000,1026.250000,984.348145,617696
2013-06-05,1030.000000,1048.000000,1004.500000,1017.799988,976.243164,493171
2013-06-06,1018.000000,1018.099976,996.000000,1004.849976,963.821899,224018
2013-06-07,997.049988,1024.000000,970.000000,980.900024,940.849915,173711
2013-06-10,985.150024,1019.849976,952.799988,1000.599976,959.745361,339238
2013-06-11,1000.000000,1018.000000,945.250000,956.000000,916.966370,378688
2013-06-12,960.000000,964.000000,922.000000,929.450012,891.500427,407592
2013-06-13,925.000000,935.000000,910.000000,924.750000,886.992432,194006
2013-06-14,931.000000,1003.900024,931.000000,994.549988,953.942566,371274
2013-06-17,998.150024,1003.700012,970.000000,991.849976,951.352600,162499
2013-06-18,988.000000,1011.400024,979.599976,989.849976,949.434387,261478
2013-06-19,992.000000,998.650024,969.250000,976.450012,936.581543,144914
2013-06-20,974.000000,990.900024,956.000000,979.099976,939.123230,200771
2013-06-21,970.000000,983.900024,945.000000,972.349976,932.648804,278730
2013-06-24,965.000000,974.950012,956.000000,970.049988,930.442810,100247
2013-06-25,971.000000,976.849976,925.000000,952.250000,913.369446,247535
2013-06-26,945.000000,960.000000,916.000000,944.099976,905.552368,316339
2013-06-27,945.200012,997.599976,945.200012,981.650024,941.569092,380039
2013-06-28,976.000000,1071.199951,972.049988,1053.449951,1010.437439,440545
2013-07-01,1054.000000,1054.000000,998.000000,1005.750000,964.685120,241855
